TÓM TẮT LOGS TRONG QUÁ TRÌNH DATA CLEANING
Item: 969 values standardized to 'Unknown' (9.69%)
Payment Method: 3178 values standardized to 'Unknown' (31.78%)
Location: 3961 values standardized to 'Unknown' (39.61%)
Transaction Date: 460 missing or invalid values (4.60%)
TXN_4271903 | Total Spent Recalculated | 4.0 x 1.0
TXN_7958992 | Total Spent Recalculated | 3.0 x 4.0
TXN_8927252 | Total Spent Recalculated | 2.0 x 1.0
TXN_6650263 | Total Spent Recalculated | 2.0 x 1.5
TXN_6289610 | Total Spent Recalculated | 3.0 x 3.0
TXN_8495063 | Total Spent Recalculated | 1.0 x 3.0
TXN_7623634 | Total Spent Recalculated | 2.0 x 3.0
TXN_8989148 | Total Spent Recalculated | 2.0 x 1.5
TXN_5526852 | Total Spent Recalculated | 5.0 x 4.0
TXN_3544789 | Total Spent Recalculated | 4.0 x 1.5
TXN_5003018 | Total Spent Recalculated | 4.0 x 1.0
TXN_6371987 | Total Spent Recalculated | 5.0 x 1.5
TXN_5307411 | Total Spent Recalculated | 3.0 x 3.0
TXN_8559167 | Total Spent Recalculated | 5.0 x 4.0
TXN_3093219 | Total Spent Recalculated | 5.0 x 3.0
TXN_5939055 | Total Spent Recalculated | 3.0 x 2.0
TXN_2726848 | Total Spent Recalculated | 5.0 x 3.0
TXN_8763180 | Total Spent Recalculated | 1.0 x 4.0
TXN_6234872 | Total Spent Recalculated | 1.0 x 4.0
TXN_3150792 | Total Spent Recalculated | 5.0 x 2.0
TXN_5511805 | Total Spent Recalculated | 1.0 x 3.0
TXN_5898743 | Total Spent Recalculated | 4.0 x 3.0
TXN_4075863 | Total Spent Recalculated | 3.0 x 4.0
TXN_2865033 | Total Spent Recalculated | 2.0 x 2.0
TXN_3142258 | Total Spent Recalculated | 4.0 x 5.0
TXN_6352917 | Total Spent Recalculated | 5.0 x 5.0
TXN_2977414 | Total Spent Recalculated | 4.0 x 3.0
TXN_6434414 | Total Spent Recalculated | 1.0 x 2.0
TXN_8297135 | Total Spent Recalculated | 2.0 x 4.0
TXN_1349738 | Total Spent Recalculated | 3.0 x 4.0
TXN_6916047 | Total Spent Recalculated | 2.0 x 2.0
TXN_4953450 | Total Spent Recalculated | 4.0 x 1.0
TXN_8354174 | Total Spent Recalculated | 3.0 x 2.0
TXN_9738758 | Total Spent Recalculated | 1.0 x 2.0
TXN_7384923 | Total Spent Recalculated | 2.0 x 4.0
TXN_3106215 | Total Spent Recalculated | 3.0 x 4.0
TXN_4109764 | Total Spent Recalculated | 3.0 x 3.0
TXN_5780615 | Total Spent Recalculated | 3.0 x 4.0
TXN_2024121 | Total Spent Recalculated | 5.0 x 3.0
TXN_5447694 | Total Spent Recalculated | 1.0 x 4.0
TXN_8999006 | Total Spent Recalculated | 1.0 x 4.0
TXN_3856427 | Total Spent Recalculated | 4.0 x 3.0
TXN_5651348 | Total Spent Recalculated | 3.0 x 5.0
TXN_2996948 | Total Spent Recalculated | 3.0 x 4.0
TXN_3616362 | Total Spent Recalculated | 5.0 x 4.0
TXN_1324930 | Total Spent Recalculated | 5.0 x 4.0
TXN_6428593 | Total Spent Recalculated | 5.0 x 1.5
TXN_9138791 | Total Spent Recalculated | 1.0 x 3.0
TXN_7948095 | Total Spent Recalculated | 5.0 x 5.0
TXN_6191123 | Total Spent Recalculated | 2.0 x 1.0
TXN_9081115 | Total Spent Recalculated | 3.0 x 3.0
TXN_2633600 | Total Spent Recalculated | 5.0 x 5.0
TXN_5669113 | Total Spent Recalculated | 2.0 x 4.0
TXN_1096690 | Total Spent Recalculated | 5.0 x 4.0
TXN_1371554 | Total Spent Recalculated | 2.0 x 4.0
TXN_5080213 | Total Spent Recalculated | 1.0 x 2.0
TXN_7740907 | Total Spent Recalculated | 5.0 x 4.0
TXN_1180969 | Total Spent Recalculated | 1.0 x 1.0
TXN_2806515 | Total Spent Recalculated | 4.0 x 4.0
TXN_7198128 | Total Spent Recalculated | 2.0 x 3.0
TXN_4651514 | Total Spent Recalculated | 2.0 x 1.5
TXN_3712466 | Total Spent Recalculated | 5.0 x 3.0
TXN_6290642 | Total Spent Recalculated | 4.0 x 2.0
TXN_4889269 | Total Spent Recalculated | 2.0 x 3.0
TXN_6105240 | Total Spent Recalculated | 5.0 x 3.0
TXN_9728454 | Total Spent Recalculated | 4.0 x 3.0
TXN_4773465 | Total Spent Recalculated | 5.0 x 2.0
TXN_9087344 | Total Spent Recalculated | 5.0 x 1.5
TXN_3109692 | Total Spent Recalculated | 4.0 x 3.0
TXN_3952218 | Total Spent Recalculated | 5.0 x 5.0
TXN_7644786 | Total Spent Recalculated | 3.0 x 1.0
TXN_3488611 | Total Spent Recalculated | 1.0 x 1.5
TXN_6727985 | Total Spent Recalculated | 5.0 x 5.0
TXN_5580933 | Total Spent Recalculated | 3.0 x 4.0
TXN_9522899 | Total Spent Recalculated | 5.0 x 4.0
TXN_1987212 | Total Spent Recalculated | 5.0 x 4.0
TXN_6066433 | Total Spent Recalculated | 2.0 x 1.5
TXN_5130399 | Total Spent Recalculated | 3.0 x 1.0
TXN_5182399 | Total Spent Recalculated | 3.0 x 2.0
TXN_6668414 | Total Spent Recalculated | 1.0 x 3.0
TXN_9169536 | Total Spent Recalculated | 5.0 x 3.0
TXN_2710779 | Total Spent Recalculated | 5.0 x 4.0
